模拟值,模拟类型,源
0.976601788316917,all,GRS 1915+105
0.9818213487101117,all,GRS 1915+105
0.9935977189332831,all,GRS 1915+105
0.9795529124324042,all,GRS 1915+105
0.9711388734865235,all,GRS 1915+105
0.9638031013448337,all,GRS 1915+105
0.9851304786741025,all,GRS 1915+105
0.9824728812562774,all,GRS 1915+105
0.973540918267377,all,GRS 1915+105
0.990260141257073,all,GRS 1915+105
0.9757822313561236,all,GRS 1915+105
0.978653559081752,all,GRS 1915+105
0.9798333586670206,all,GRS 1915+105
0.9764904725786191,all,GRS 1915+105
0.9823586506574957,all,GRS 1915+105
0.99151515145933,all,GRS 1915+105
0.9685751810188158,all,GRS 1915+105
0.9848852013847401,all,GRS 1915+105
0.9817215866960644,all,GRS 1915+105
0.981537638295447,all,GRS 1915+105
0.9887184456987409,all,GRS 1915+105
0.9804929742521715,all,GRS 1915+105
0.984802292619057,all,GRS 1915+105
0.9871586462957115,all,GRS 1915+105
0.9749563479961939,all,GRS 1915+105
0.982991834608138,all,GRS 1915+105
0.9774921239278936,all,GRS 1915+105
0.978673182202801,all,GRS 1915+105
0.9767793860352166,all,GRS 1915+105
0.9847108040409689,all,GRS 1915+105
0.9808164470901826,all,GRS 1915+105
0.9839454403431668,all,GRS 1915+105
0.9798248263710425,all,GRS 1915+105
0.9639587898752967,all,GRS 1915+105
0.9803136841609971,all,GRS 1915+105
0.9806353795515681,all,GRS 1915+105
0.9824259593715345,all,GRS 1915+105
0.9740627080631425,all,GRS 1915+105
0.9680453028333449,all,GRS 1915+105
0.9862460664489427,all,GRS 1915+105
0.9772639344346583,all,GRS 1915+105
0.9817124404768499,all,GRS 1915+105
0.977185399201117,all,GRS 1915+105
0.979939381742264,all,GRS 1915+105
0.9755071465206419,all,GRS 1915+105
0.9703191641084618,all,GRS 1915+105
0.9847373166076866,all,GRS 1915+105
0.9739687991177388,all,GRS 1915+105
0.9816395148089481,all,GRS 1915+105
0.9841046022190207,all,GRS 1915+105
0.9741318728439692,all,GRS 1915+105
0.9679611436562702,all,GRS 1915+105
1.0,all,GRS 1915+105
0.9747222812405457,all,GRS 1915+105
0.9862341715860116,all,GRS 1915+105
0.9993946354957012,all,GRS 1915+105
0.9878990774685389,all,GRS 1915+105
0.9769955719117245,all,GRS 1915+105
0.9793288361246488,all,GRS 1915+105
0.9716739278026115,all,GRS 1915+105
0.9888169642695774,all,GRS 1915+105
0.9856627070805869,all,GRS 1915+105
