模拟值,模拟类型,源
0.9427407181082827,all,4U 1755-338
0.37891018827855577,all,4U 1755-338
0.927244042975568,all,4U 1755-338
0.7185807072726205,all,4U 1755-338
0.9256406963901639,all,4U 1755-338
0.9409249723180624,all,4U 1755-338
1.0,all,4U 1755-338
1.0,all,4U 1755-338
1.0,all,4U 1755-338
1.0,all,4U 1755-338
0.8341033766595081,all,4U 1755-338
0.7770807191481047,all,4U 1755-338
0.9620197582992336,all,4U 1755-338
0.9310578093152649,all,4U 1755-338
0.7020054279175828,all,4U 1755-338
0.859061149937819,all,4U 1755-338
0.7622787773073892,all,4U 1755-338
0.5821347601387877,all,4U 1755-338
1.0,all,4U 1755-338
0.7821438333566196,all,4U 1755-338
1.0,all,4U 1755-338
0.41239170055603686,all,4U 1755-338
0.6475086699744594,all,4U 1755-338
0.7771805440719918,all,4U 1755-338
1.0,all,4U 1755-338
0.8578832619724808,all,4U 1755-338
0.8383040059197653,all,4U 1755-338
0.5220019656380877,all,4U 1755-338
0.5154728926095163,all,4U 1755-338
0.8409510252637791,all,4U 1755-338
0.46989668135996115,all,4U 1755-338
0.6529868949363478,all,4U 1755-338
0.8802018123988886,all,4U 1755-338
0.5538886600991093,all,4U 1755-338
1.0,all,4U 1755-338
1.0,all,4U 1755-338
0.42428760036557395,all,4U 1755-338
0.5648783264999628,all,4U 1755-338
0.267129006211111,all,4U 1755-338
0.5978299002394107,all,4U 1755-338
0.9386054648459279,all,4U 1755-338
0.6789431126995316,all,4U 1755-338
0.8713753935955129,all,4U 1755-338
0.4350864499780163,all,4U 1755-338
0.9455545560080192,all,4U 1755-338
0.647875969855763,all,4U 1755-338
0.7726773301022392,all,4U 1755-338
0.7495676096935284,all,4U 1755-338
0.49025932540369754,all,4U 1755-338
0.5163214470172479,all,4U 1755-338
0.9829147831807538,all,4U 1755-338
0.857778274650373,all,4U 1755-338
1.0,all,4U 1755-338
0.8414248118105541,all,4U 1755-338
0.8014579396580277,all,4U 1755-338
0.39027766389331137,all,4U 1755-338
0.7105193267125427,all,4U 1755-338
0.7639754495111764,all,4U 1755-338
1.0,all,4U 1755-338
0.921130459061709,all,4U 1755-338
1.0,all,4U 1755-338
0.9014582952968402,all,4U 1755-338
0.6135132900711145,all,4U 1755-338
0.7957673275529673,all,4U 1755-338
0.8219692021781313,all,4U 1755-338
0.56338577465045,all,4U 1755-338
0.6854347771495574,all,4U 1755-338
0.7247312613910222,all,4U 1755-338
1.0,all,4U 1755-338
0.3122370844139848,all,4U 1755-338
1.0,all,4U 1755-338
0.5639050483089358,all,4U 1755-338
0.46814257880068494,all,4U 1755-338
1.0,all,4U 1755-338
0.9310175752315638,all,4U 1755-338
1.0,all,4U 1755-338
0.946154428460027,all,4U 1755-338
1.0,all,4U 1755-338
0.8929192441277868,all,4U 1755-338
0.7355749772529051,all,4U 1755-338
0.8454438030106954,all,4U 1755-338
1.0,all,4U 1755-338
0.5985374284427742,all,4U 1755-338
0.6265845118430963,all,4U 1755-338
0.7020287967884604,all,4U 1755-338
0.30699178427162693,all,4U 1755-338
0.8003772498518603,all,4U 1755-338
0.3550516851307743,all,4U 1755-338
0.7816730488451762,all,4U 1755-338
0.960363746349755,all,4U 1755-338
0.6650871786583562,all,4U 1755-338
1.0,all,4U 1755-338
0.4486898021279327,all,4U 1755-338
1.0,all,4U 1755-338
0.9185301524095226,all,4U 1755-338
0.3924726853716484,all,4U 1755-338
1.0,all,4U 1755-338
0.7559760371891274,all,4U 1755-338
0.576953515125761,all,4U 1755-338
0.4604408171475163,all,4U 1755-338
0.7215960339148717,all,4U 1755-338
0.7419704880742088,all,4U 1755-338
0.7925820162787262,all,4U 1755-338
0.7044848456307288,all,4U 1755-338
0.9093095682253206,all,4U 1755-338
0.6847214368140858,all,4U 1755-338
0.3443078942070964,all,4U 1755-338
0.7371404709570789,all,4U 1755-338
0.24915491625787878,all,4U 1755-338
0.8478295387961057,all,4U 1755-338
0.5545539493378202,all,4U 1755-338
0.8059392780814761,all,4U 1755-338
1.0,all,4U 1755-338
0.56127528704104,all,4U 1755-338
1.0,all,4U 1755-338
0.6746542953290463,all,4U 1755-338
1.0,all,4U 1755-338
0.6896664250963931,all,4U 1755-338
0.585091543188528,all,4U 1755-338
0.9211924590869635,all,4U 1755-338
0.6741262594828001,all,4U 1755-338
0.5848811068916182,all,4U 1755-338
0.6648752328451659,all,4U 1755-338
0.7601865629197397,all,4U 1755-338
1.0,all,4U 1755-338
0.34450069599889305,all,4U 1755-338
0.7750777449690925,all,4U 1755-338
0.9074787908238895,all,4U 1755-338
0.8125586864981952,all,4U 1755-338
1.0,all,4U 1755-338
0.7536440274531246,all,4U 1755-338
0.7293986827190921,all,4U 1755-338
0.9003125003429355,all,4U 1755-338
0.791849039289297,all,4U 1755-338
0.6841100775782964,all,4U 1755-338
0.8835516887090036,all,4U 1755-338
0.6264437754923381,all,4U 1755-338
0.6355410265557481,all,4U 1755-338
0.653841315211565,all,4U 1755-338
1.0,all,4U 1755-338
0.06137640168314307,all,4U 1755-338
